weight_decay,step,frozen_frac,loss
0.01,0,0.9989550679205852,85.5
0.01,1,0.9963427377220481,82.5
0.01,2,0.9895506792058516,78.0
0.01,3,0.9200626959247649,69.5
0.01,4,0.8401253918495298,59.5
0.01,5,0.7884012539184952,49.25
0.01,6,0.7753396029258098,42.0
0.01,7,0.7732497387669801,38.25
0.01,8,0.7732497387669801,35.0
0.01,9,0.7716823406478579,32.25
0.01,10,0.7711598746081505,31.5
0.01,11,0.7727272727272727,30.25
0.01,12,0.7727272727272727,29.875
0.01,13,0.7695924764890282,28.625
0.01,14,0.7664576802507836,28.25
0.01,15,0.764367816091954,28.0
0.01,16,0.7617554858934169,28.0
0.01,17,0.7549634273772204,27.125
0.01,18,0.7513061650992685,26.25
0.01,19,0.7492163009404389,25.625
0.01,20,0.7434691745036572,26.875
0.01,21,0.7429467084639498,25.375
0.01,22,0.7392894461859979,25.25
0.01,23,0.7361546499477534,25.5
0.01,24,0.7330198537095088,24.375
0.01,25,0.735632183908046,25.125
0.01,26,0.7361546499477534,24.625
0.01,27,0.7335423197492164,24.375
0.01,28,0.7293625914315569,24.0
0.01,29,0.7262277951933125,24.125
0.01,30,0.723092998955068,23.75
0.01,31,0.7163009404388715,23.875
0.01,32,0.7136886102403344,23.125
0.01,33,0.7089864158829676,24.0
0.01,34,0.7068965517241379,23.375
0.01,35,0.7001044932079414,23.0
0.01,36,0.6959247648902821,23.25
0.01,37,0.6912225705329154,22.875
0.01,38,0.6865203761755486,22.125
0.01,39,0.6812957157784744,22.25
0.01,40,0.6797283176593522,22.375
0.01,41,0.6760710553814002,22.0
0.01,42,0.6724137931034483,22.25
0.01,43,0.668234064785789,21.375
0.01,44,0.664576802507837,21.75
0.01,45,0.6619644723092999,21.125
0.01,46,0.658307210031348,21.75
0.01,47,0.654649947753396,21.375
0.01,48,0.6515151515151515,21.625
0.01,49,0.644723092998955,20.625
0.01,50,0.6442006269592476,21.0
0.01,51,0.642110762800418,21.25
0.01,52,0.6368861024033438,21.5
0.01,53,0.6374085684430512,20.75
0.01,54,0.6368861024033438,20.75
0.01,55,0.6363636363636364,21.0
0.01,56,0.6327063740856844,21.25
0.01,57,0.6290491118077325,20.375
0.01,58,0.6269592476489029,21.0
0.01,59,0.6253918495297806,20.375
0.01,60,0.6233019853709509,20.375
0.01,61,0.6227795193312434,20.5
0.01,62,0.6212121212121212,19.75
0.01,63,0.619644723092999,20.25
0.01,64,0.6185997910135841,19.5
0.01,65,0.6175548589341693,20.5
0.01,66,0.6154649947753396,19.75
0.01,67,0.6128526645768025,19.875
0.01,68,0.6102403343782654,19.625
0.01,69,0.6107628004179728,19.875
0.01,70,0.609717868338558,19.0
0.01,71,0.603448275862069,20.125
0.01,72,0.5992685475444096,19.0
0.01,73,0.599791013584117,19.625
0.01,74,0.5977011494252874,19.375
0.01,75,0.5945663531870429,18.625
0.01,76,0.5929989550679206,18.625
0.01,77,0.5924764890282131,18.625
0.01,78,0.5909090909090909,19.125
0.01,79,0.5893416927899686,19.375
0.01,80,0.5909090909090909,18.625
0.01,81,0.5893416927899686,18.75
0.01,82,0.5856844305120167,18.5
0.01,83,0.5841170323928945,18.625
0.01,84,0.5815047021943573,18.625
0.01,85,0.5788923719958202,18.625
0.01,86,0.577324973876698,18.25
0.01,87,0.5757575757575758,18.5
0.01,88,0.5757575757575758,18.25
0.01,89,0.5736677115987461,18.125
0.01,90,0.5736677115987461,18.25
0.01,91,0.5715778474399164,18.5
0.01,92,0.5700104493207941,17.875
0.01,93,0.5689655172413793,18.25
0.01,94,0.5684430512016719,17.875
0.01,95,0.5658307210031348,18.625
0.01,96,0.5658307210031348,17.75
0.01,97,0.5621734587251829,17.75
0.01,98,0.5611285266457681,17.75
0.01,99,0.5590386624869383,16.875
0.01,100,0.5569487983281086,18.0
0.01,101,0.5543364681295716,17.875
0.01,102,0.5522466039707419,17.375
0.01,103,0.5527690700104493,18.125
0.01,104,0.5512016718913271,17.375
0.01,105,0.5506792058516197,17.125
0.01,106,0.5444096133751306,17.625
0.01,107,0.5412748171368861,17.75
0.01,108,0.5412748171368861,16.75
0.01,109,0.5402298850574713,17.625
0.01,110,0.5397074190177639,17.0
0.01,111,0.5391849529780565,17.25
0.01,112,0.5391849529780565,16.875
0.01,113,0.5370950888192267,17.0
0.01,114,0.5344827586206896,16.25
0.01,115,0.5329153605015674,16.875
0.01,116,0.5308254963427377,16.25
0.01,117,0.5297805642633229,15.9375
0.01,118,0.5276907001044933,17.25
0.01,119,0.5266457680250783,16.75
0.01,120,0.5240334378265413,16.375
0.01,121,0.5219435736677116,16.5
0.01,122,0.5208986415882968,16.75
0.01,123,0.5198537095088819,15.5
0.01,124,0.5182863113897597,15.75
0.01,125,0.5177638453500523,16.125
0.01,126,0.5156739811912225,15.5625
